votes,margin2020,fips,results_trumpd,results_bidenj
70655,45.35843,28121,50895,18847
10744,18.1962,28123,6285,4330
2183,-35.59322,28125,688,1465
11820,30.43993,28127,7635,4037
8327,56.0466,28129,6458,1791
7878,52.83067,28131,5964,1802
9683,-41.12362,28133,2799,6781
5691,-10.84168,28135,2488,3105
13101,34.53172,28137,8707,4183
10102,60.55237,28139,8054,1937
9147,75.15032,28141,7933,1059
3565,-46.39551,28143,926,2580
12683,64.75597,28145,10373,2160
5721,20.80056,28147,3426,2236
21056,-0.36569,28149,10365,10442
18025,-39.96117,28151,5300,12503
10065,26.65673,28153,6307,3624
5402,60.12588,28155,4291,1043
4130,-34.50363,28157,1324,2749
9244,11.59671,28159,5112,4040
6538,13.55154,28161,3671,2785
10441,-6.35954,28163,4832,5496
10337,25.98433,29001,6391,3705
9775,50.17903,29003,7256,2351
2814,58.10235,29005,2199,564
10660,47.12946,29007,7727,2703
15598,60.75779,29009,12425,2948
6077,71.15353,29011,5168,844
8435,58.36396,29013,6595,1672
10478,56.56614,29015,8106,2179
5981,73.78365,29017,5162,749
91004,-12.53022,29019,38596,49999
36713,24.5281,29021,22450,13445
18165,62.19653,29023,14599,3301
4696,60.22147,29025,3725,897
21178,42.23251,29027,14812,5868
24774,53.22112,29029,18825,5640
40252,45.05366,29031,28873,10738
4531,64.46701,29033,3706,785
2906,69.95871,29035,2451,418
57524,31.52945,29037,37172,19035
7039,65.96107,29039,5786,1143
4074,53.82916,29041,3109,916
46904,50.69504,29043,34904,11126
3394,58.75074,29045,2672,678
126618,3.99943,29047,64583,59519
10894,44.93299,29049,7789,2894
39486,33.8829,29051,26066,12687
8710,46.18829,29053,6272,2249
10973,60.25699,29055,8725,2113
4123,66.89304,29057,3414,656
8122,64.51613,29059,6620,1380
3884,60.16993,29061,3077,740
4842,59.83065,29063,3827,930
7142,69.04229,29065,5987,1056
6994,69.83128,29067,5896,1012
10419,56.96324,29069,8135,2200
53750,43.6707,29071,38034,14561
7934,58.243,29073,6222,1601
3239,60.72862,29075,2580,613
138074,20.2826,29077,81312,53307
4437,62.79017,29079,3585,799
3825,68,29081,3198,597
10776,50.14848,29083,8019,2615
5080,57.30315,29085,3965,1054
2344,69.88055,29087,1976,338
5089,42.05148,29089,3552,1412
18637,64.17342,29091,15174,3214
4592,57.73084,29093,3596,945
330425,-21.83067,29095,125897,198031
52515,46.03447,29097,37714,13539
116629,33.88008,29099,77021,37507
23134,36.77272,29101,15468,6961
1856,61.74569,29103,1486,340
16819,65.25953,29105,13755,2779
17083,45.6126,29107,12262,4470
17930,62.50418,29109,14421,3214
4607,55.5025,29111,3541,984
28814,52.57514,29113,21702,6553
5700,53.85965,29115,4344,1274
6755,57.09845,29117,5266,1409
7834,56.34414,29121,6075,1661
5671,62.84606,29123,4581,1017
4774,64.43234,29125,3890,814
13370,50.17951,29127,9910,3201
9050,66.60773,29119,7465,1437
1779,74.14278,29129,1541,222
12379,65.73229,29131,10175,2038
4756,49.6005,29133,3537,1178
7150,61.97203,29135,5738,1307
4467,56.7495,29137,3466,931
5770,56.34315,29139,4457,1206
9484,58.15057,29141,7439,1924
7248,51.03477,29143,5447,1748
28396,57.39189,29145,22090,5793
9874,40.5712,29147,6855,2849
4742,63.77056,29149,3847,823
7449,71.28474,29151,6341,1031
4870,68.00821,29153,4064,752
5727,44.70054,29155,4116,1556
9429,63.34712,29157,7634,1661
19069,47.50642,29159,13835,4776
19495,40.10772,29161,13438,5619
7686,53.85116,29163,5856,1717
58523,1.94795,29165,29251,28111
15059,59.53915,29167,11849,2883
14405,45.75495,29169,10326,3735
2361,68.74206,29171,1984,361
5662,56.35818,29173,4396,1205
10742,51.5081,29175,8018,2485
11654,44.80007,29177,8328,3107
3298,66.82838,29179,2733,529
5743,69.73707,29181,4838,833
9528,37.19563,29195,6447,2903
2005,61.49626,29197,1606,373
1985,59.0932,29199,1560,387
17748,56.43453,29201,13769,3753
